Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
 Blitz tournament ,Shambobala,cernunnoss,1-0,2016.06.30,22:00:02,1764,1773,12.0,-12.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. Nf3 Nf6 4. Be2 c6 5. O-O g6 6. d4 Bg7 7. c4 Qd8 8. Be3 O-O 9. Nc3 Nbd7 10. Qd2 b6 11. Rac1 Bb7 12. Rfd1 e6 13. b4 Rc8 14. a4 Qe7 15. c5 a5 16. bxa5 bxa5 17. Rb1 Ba8 18. Bh6 Rfd8 19. Bxg7 Kxg7 20. Rb3 Nxc5 21. Rb6 Nce4 22. Nxe4 Nxe4 23. Qb2 c5 24. dxc5+ Kg8 25. Rxd8+ Rxd8 26. h3 Qxc5 27. Rb8 Qxf2+ 28. Kh2 Qg3+ 29. Kg1 Rxb8 30. Bb5 Bd5 31. Ne5 Qe3+ 32. Kh2 Qf4+ 33. Kh1 Nf2+ 34. Kg1 Rc8 35. Nd3 Nxd3 36. Bxd3 Rc1+ 37. Qxc1 Qxc1+ 38. Kh2 Qf4+ 39. Kg1 Qc1+ 40. Kf2 Qd2+ 41. Kg3 Qxd3+ 42. Kh2 Qd1 43. Kg3 1-0
 Classical ,DARDELU,chess4life54,0-1,2016.06.30,22:00:01,1649,1638,-13.0,11.0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",900+3,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5 5. Nxf7 Bxf2+ 6. Kxf2 Nxe4+ 7. Kg1 Qh4 8. Qf3 Nd4 9. Qf1 Rf8 10. g3 Nxg3 11. hxg3 Qxg3+ 12. Qg2 Qxg2+ 13. Kxg2 Nxc2 14. d3 Rxf7 15. Bg5 Nxa1 16. Bxf7+ Kxf7 17. Rf1+ Kg6 18. Bd2 Nc2 19. Nc3 b6 20. Nd5 Bb7 21. Rg1 Bxd5+ 22. Kf2+ 0-1
 Classical ,fabikim,sereno,1-0,2016.06.30,22:00:02,1630,1500,7.0,-7.0,C41,Philidor Defense #3,420+5,Normal,1. e4 e5 2. Nf3 d6 3. Bc4 Nc6 4. d3 Na5 5. Na3 Nxc4 6. Nxc4 a6 7. Ng5 h6 8. Nf3 Be6 9. Ne3 Be7 10. h3 Bg5 11. O-O Ne7 12. Nxg5 hxg5 13. Qf3 Qd7 14. g4 g6 15. c3 f5 16. exf5 gxf5 17. d4 fxg4 18. hxg4 Bxg4 19. Nxg4 O-O-O 20. Bxg5 Qf5 21. Qxf5+ Nxf5 22. Bxd8 Kxd8 23. Kg2 Rg8 24. Kf3 exd4 25. cxd4 Nxd4+ 26. Kf4 Ne2+ 27. Ke3 Re8+ 28. Kf3 Nd4+ 29. Kg3 Nf5+ 30. Kf4 Nh4 31. Rg1 Rf8+ 32. Kg3 Nf5+ 33. Kh2 Nd4 34. Rg3 Rxf2+ 35. Nxf2 1-0
 Blitz tournament ,IZDenisZI,BoBo93,1-0,2016.06.30,22:00:02,1833,1837,11.0,-12.0,C36,"King's Gambit Accepted, Modern Defense",300+0,Normal,1. e4 e5 2. f4 exf4 3. Nf3 d5 4. e5 f6 5. d4 fxe5 6. Nxe5 Bd6 7. Qh5+ g6 8. Nxg6 hxg6 9. Qxh8 Qe7+ 10. Be2 Bg4 11. Qxg8+ Kd7 12. Nc3 Bb4 13. Qxd5+ Ke8 14. O-O Bxe2 15. Nxe2 Nc6 16. Qg8+ Qf8 17. Qxf8+ Kxf8 18. Bxf4 Kg7 19. Be5+ Kh6 20. c3 Be7 21. Ng3 Re8 22. Rf7 Nxe5 23. dxe5 Bc5+ 24. Kh1 Rxe5 25. h3 Bd6 26. Raf1 Rb5 27. Ne4 Rxb2 28. Nxd6 cxd6 29. Rd1 Rxa2 30. Rxb7 Ra3 31. Rc7 Ra6 32. Rd7 Rc6 33. R7xd6 Rxc3 34. Ra6 Rc7 35. Rda1 Rc5 36. Rxa7 Rg5 37. R7a5 Rg3 38. R1a3 Rxa3 39. Rxa3 Kg5 40. Kh2 Kf4 41. Rf3+ Kg5 42. Kg3 Kh5 43. Rf8 Kg5 44. h4+ Kh6 45. Kg4 Kg7 46. Ra8 Kh7 47. g3 Kh6 48. Ra6 Kg7 49. Kg5 Kf7 50. Rxg6 Ke7 51. h5 Kd7 52. h6 1-0
 Blitz tournament ,lasha-fero,ildivinojohnny,1-0,2016.06.30,22:00:02,2020,1979,10.0,-11.0,A00,Polish Opening,180+0,Time forfeit,1. b4 e6 2. Bb2 d5 3. Nf3 Nf6 4. b5 Be7 5. e3 O-O 6. a4 c5 7. Be2 b6 8. O-O Bb7 9. d3 Nbd7 10. c4 Rc8 11. Ne5 Nxe5 12. Bxe5 Nd7 13. Bb2 Bf6 14. Qc2 Bxb2 15. Qxb2 Qf6 16. Qxf6 Nxf6 17. Bf3 Rc7 18. Nd2 Rd8 19. Rfd1 d4 20. Bxb7 Rxb7 21. e4 Nd7 22. f4 e5 23. f5 Nf6 24. h3 Nh5 25. Nf3 f6 26. Kf2 Nf4 27. h4 g6 28. g3 Nh5 29. g4 Nf4 30. a5 Kf7 31. axb6 axb6 32. g5 gxf5 33. gxf6 Kxf6 34. exf5 Kxf5 35. Ra3 Rdd7 36. Rg1 Ra7 37. Rg5+ Kf6 38. Rxa7 Rxa7 39. Nxe5 Ra2+ 40. Kg3 Ne6 41. Ng4+ Kf7 42. Rh5 Kg7 43. Re5 Nf8 44. Rd5 Rd2 45. Ne5 Re2 46. Kf4 Rf2+ 47. Nf3 Rd2 48. Ke4 Re2+ 49. Kf5 Re7 50. Ne5 Ng6 51. Nxg6 hxg6+ 52. Kg5 Re3 53. Rd6 Rxd3 54. Rxg6+ Kf7 55. h5 Rg3+ 56. Kf4 Rxg6 57. hxg6+ Kxg6 58. Ke4 Kf6 59. Kd3 Ke6 60. Kc2 Kd6 61. Kd2 Ke5 62. Kd3 1-0
 Blitz tournament ,arkadyNa,sofianet06,0-1,2016.06.30,22:00:02,1581,1616,-12.0,11.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. d4 Qa5+ 4. Bd2 Qb6 5. c4 Bd7 6. Nf3 Nf6 7. Bc3 e6 8. Bd3 Bb4 9. O-O Bxc3 10. Nxc3 O-O 11. Qc2 h6 12. Ne4 Nxe4 13. Bxe4 Bc6 14. b3 f5 15. Bd3 Bxf3 16. gxf3 Qxd4 17. Rae1 Qf6 18. Re3 Nc6 19. Rfe1 e5 20. Bf1 Nd4 21. Qc3 Qg5+ 22. Bg2 Rae8 23. Rxe5 Rxe5 24. Rxe5 Nxf3+ 25. Qxf3 Qc1+ 26. Bf1 Qg5+ 27. Kh1 Rd8 28. Qxb7 Rd1 29. Qg2 Qxg2+ 30. Kxg2 Rd2 31. Rc5 Rxa2 0-1
 Blitz tournament ,mayconchess,trend19,0-1,2016.06.30,22:00:02,1879,1868,-13.0,12.0,B01,Scandinavian Defense: Main Line,180+0,Normal,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 c6 5. Be2 Bg4 6. O-O e6 7. Ne4 Nd7 8. d4 Ngf6 9. Neg5 h6 10. Nh3 O-O-O 11. Nf4 Bd6 12. Nd3 Qc7 13. c4 h5 14. h3 Bxf3 15. Bxf3 Ng4 16. c5 Bxc5 17. Nxc5 Qh2# 0-1
 Blitz tournament ,lj1983,plmnnnn,1-0,2016.06.30,22:00:02,1963,1979,12.0,-13.0,B10,Caro-Kann Defense: Two Knights Attack,180+0,Normal,1. e4 c6 2. Nf3 d5 3. Nc3 g6 4. d3 Bg7 5. Be2 Nf6 6. O-O dxe4 7. dxe4 Qxd1 8. Rxd1 O-O 9. h3 h6 10. Nh2 Be6 11. f4 b5 12. f5 Bc4 13. Bxc4 bxc4 14. Ng4 Nxg4 15. hxg4 gxf5 16. gxf5 Na6 17. Be3 Nb4 18. Bc5 Nxc2 19. Rac1 Rfd8 20. Rxd8+ Rxd8 21. Rxc2 1-0
 Blitz tournament ,Inorem,leymoral,1-0,2016.06.30,22:00:02,1751,1712,10.0,-10.0,C62,Ruy Lopez: Steinitz Defense,180+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. d4 Bd7 5. dxe5 Nxe5 6. Bxd7+ Nxd7 7. O-O Qe7 8. Nc3 O-O-O 9. Be3 Kb8 10. Qd4 c5 11. Qd3 Ne5 12. Nxe5 Qxe5 13. Rfe1 Nf6 14. a3 Ng4 15. b4 Qxh2+ 16. Kf1 Qe5 17. bxc5 Be7 18. c6 b6 19. Nd5 Rc8 20. Qb5 Nxe3+ 21. fxe3 Qxe4 22. a4 Bh4 23. Re2 Qf5+ 24. Kg1 Rhe8 25. a5 Re5 26. axb6 Rxd5 27. bxa7+ Ka8 28. Qb7# 1-0
 Blitz tournament ,Torres2300,Trabelsi-Wajdi,0-1,2016.06.30,22:00:02,1795,1800,-14.0,11.0,B32,Sicilian Defense: Franco-Sicilian Variation,300+0,Normal,1. e4 c5 2. Nf3 e6 3. d4 Nc6 4. d5 Nb4 5. c3 Na6 6. Bxa6 bxa6 7. O-O d6 8. Re1 e5 9. Qa4+ Bd7 10. Qxa6 Nf6 11. Na3 Be7 12. Nb5 Kf8 13. Nxd6 Bxd6 14. Qxd6+ Qe7 15. Qxe7+ Kxe7 16. Bg5 h6 17. Bh4 g5 18. Bg3 Rhe8 19. Nxe5 Nh5 20. Nxd7 Kxd7 21. Rad1 Rab8 22. b3 Rb6 23. e5 Ng7 24. c4 Nf5 25. f4 Nxg3 26. hxg3 gxf4 27. gxf4 a5 28. Kf2 a4 29. Rd3 axb3 30. axb3 Reb8 31. Ree3 Ra6 32. g4 Rg8 33. Kg3 h5 34. g5 Ra1 35. Kg2 h4 36. e6+ fxe6 37. dxe6+ Ke8 38. f5 Rxg5+ 39. Kh3 Rh1# 0-1
 Blitz tournament ,Igor76,dancg,1-0,2016.06.30,22:00:02,1913,1925,11.0,-13.0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack",300+0,Normal,1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 5. f4 e6 6. Nf3 c5 7. c3 Nc6 8. Na3 cxd4 9. cxd4 Bxa3 10. bxa3 Qa5+ 11. Kf2 Qd8 12. Bd3 Nge7 13. Rb1 Qc8 14. a4 a6 15. Ba3 Ng6 16. Kg3 Rb8 17. Bd6 Ra8 18. Qb3 Nd8 19. Rhc1 Nc6 20. Qxb7 Qxb7 21. Rxb7 Nge7 22. Rcb1 Bc8 23. Rc7 Kd8 24. Ng5 Rf8 25. Nxh7 Rh8 26. Ng5 Rf8 27. Nf3 g6 28. Rb6 Bd7 29. Bxa6 Nc8 30. Bxc8 Rxc8 31. Rxc8+ Kxc8 32. Bxf8 1-0
 Blitz tournament ,yoyoparker,philastro110,1-0,2016.06.30,22:00:02,1707,1739,13.0,-12.0,B01,Scandinavian Defense,300+0,Normal,1. e4 d5 2. e5 Bf5 3. d4 e6 4. Nc3 Nc6 5. Nf3 Nge7 6. Bb5 Qd7 7. Bg5 h6 8. Bxe7 Bxe7 9. Bxc6 Qxc6 10. O-O O-O 11. Qe2 a6 12. Rac1 b5 13. a3 Rab8 14. Na2 Bg5 15. Nxg5 hxg5 16. c3 g6 17. Qe3 g4 18. Nb4 Qb6 19. Nd3 Kg7 20. Nc5 Qc6 21. Qg5 Rh8 22. Qf6+ Kg8 23. b4 Ra8 24. f4 Qe8 25. g3 Qd8 26. Rf2 Qxf6 27. exf6 Kf8 28. Nd7+ Ke8 29. Ne5 Rh7 30. Nc6 Kd7 31. Ne5+ Kd6 32. Ra1 a5 33. bxa5 Rxa5 34. Rb2 c6 35. Rb4 Kc7 36. a4 Kb6 37. Nd7+ Ka6 38. Nc5+ Kb6 39. Rab1 Kc7 40. axb5 Bxb1 41. b6+ Kb8 42. Nd7+ Kb7 43. Nc5+ Kb8 44. b7 Rxc5 45. dxc5 Bd3 46. Rb6 Bb5 47. Kg2 Rh8 48. Kg1 Rd8 49. Kg2 Rd7 50. h3 gxh3+ 51. Kxh3 Rxb7 52. Rxb7+ Kxb7 53. Kg4 Kc7 54. Kg5 Bd3 55. Kh6 Kd7 56. Kg7 Ke8 57. Kh6 Bf5 58. Kg5 Be4 59. g4 Bg2 60. f5 e5 61. fxg6 e4 62. g7 1-0
